,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1646,1.0,4.423240888319718e-05,0.012105361553334226,0.008977640219828185,0.012055196118075212,0.00012086414947450371,1.3326949707785413e-05,0.09083458543914766,7.277972412569527e-05,0.0035451202138116113,0.2641480921798262,0.7526800827534325,0.006901683645272608,0.9057848805837202,0.610525192261332,0.40446421722788994
1647,1.0,0.0009213894240365757,0.01011201298963799,0.0057536257762434775,0.08365345733926406,0.0005748021279356429,2.226149651562657e-05,0.030596912990028684,1.0815200733573874e-06,0.005091278562514495,0.2877219493766528,0.7910475832236223,0.005909512225901767,0.3124559859960023,0.6676240680582048,0.48247296157091357
1648,1.0,0.00010818320088847224,0.010759635667349755,0.009166121064222368,0.03237103575761077,0.0005601401323472168,1.4824359787311864e-05,0.04562218276191777,4.986501757143562e-06,0.004141495576882723,0.2327162825840574,0.8478465299981193,0.003207150596825922,0.2936312536468762,0.7641101900425473,0.6421722788985197
1649,1.0,6.877196642862148e-05,0.008793698216658461,0.009632363152986925,0.03098463404771533,0.00023588945114830676,1.0431956887367608e-05,0.05320311432864363,9.007491083933444e-06,0.0020100058533137483,0.2327162825840574,0.8478465299981193,0.003207150596825922,0.2936312536468762,0.7641101900425473,0.6421722788985197
1650,1.0,1.849590331847509e-05,0.00898480678056072,0.00474178124317997,0.009784241233897522,0.00010088231477877255,4.542143907896901e-06,0.07218959158584892,2.963036160436396e-05,0.0009276950092217301,0.18934642992066492,0.8478465299981193,0.002950404483918555,0.5664526862032461,0.757311375247174,0.6544450410370485
1651,1.0,2.072009235339789e-05,0.011588877308859796,0.008531238219947225,0.010486829183755993,0.0006828856883352796,1.5323496480487346e-05,0.06809179073897009,2.3610752412281882e-05,0.004196715517907826,0.1708349074423876,0.8384427308632688,0.003107063129082372,0.24528718623159843,0.29856962810660737,0.6639564316944082
1652,1.0,0.00010229346143836735,0.01674576121134999,0.002172489732754003,0.03131679279071111,8.70637083171143e-05,1.1180661927130832e-05,0.07198470154350499,2.924762772705252e-05,0.00240758942869449,0.260521344918776,0.7406432198608237,0.008215875613035741,0.5661792277680127,0.3171487824226334,0.5110071335429931
1653,1.0,0.0001728243565198887,0.009767132963411727,0.00031744142213757117,0.024919126566922765,0.00019384974698326198,8.18584176807793e-06,0.044529435869416746,4.537086321255188e-06,0.002429677405104531,0.265130336229694,0.8322362234342675,0.003842488435545847,0.6591175981020705,0.5474416587889718,0.5835698396870446
1654,1.0,5.9452020512905264e-05,0.011865207363329498,0.0010614447552725035,0.01888611287620588,0.00031841183339820944,8.635064791935868e-06,0.05559349815598962,1.0666309034285652e-05,0.00259533722817984,0.23520967132602946,0.8501034417904834,0.003085304983920731,0.3670502706232484,0.43066500264712115,0.6801411367645932
1655,0.0,3.917635574933054e-05,0.009555070356567493,0.0015673670218042577,0.01870198139911039,0.00014681458414428442,3.5438705215459345e-06,0.041114601830351045,3.338645158886191e-06,0.0016234662661380275,0.12194937665281451,0.8758698514199736,0.0018450907097071793,0.7828022081540008,0.3102826394351945,0.6049704686661042
